Age,All Organs,All Organs,All Organs,Kidney,Kidney,Kidney,Liver,Liver,Liver,Pancreas,Pancreas,Pancreas,Kidney / Pancreas,Kidney / Pancreas,Kidney / Pancreas,Heart,Heart,Heart,Lung,Lung,Lung,Heart / Lung,Heart / Lung,Heart / Lung,Intestine,Intestine,Intestine,Abdominal Wall,Abdominal Wall,VCA - head and neck,VCA - head and neck,VCA - head and neck,VCA - upper limb,VCA - upper limb,VCA - uterus,VCA - uterus
Group,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,All Genders,Male,Female,All Genders,Male,All Genders,Female
All Ages,"113,602","70,371","43,231","96,288","59,925","36,363","9,625","5,676","3,949",852,419,433,"2,250","1,202","1,048","3,419","2,583",836,912,432,480,43,27,16,197,100,97,2,2,3,2,1,3,3,8,8
< 1 Year,110,45,65,0,0,0,32,13,19,1,0,1,0,0,0,76,32,44,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1-5 Years,595,351,244,246,170,76,125,65,60,18,11,7,0,0,0,172,86,86,3,0,3,0,0,0,31,19,12,0,0,0,0,0,0,0,0,0
6-10 Years,492,287,205,267,168,99,58,29,29,8,4,4,1,1,0,131,68,63,8,5,3,1,1,0,18,11,7,0,0,0,0,0,0,0,0,0
11-17 Years,"1,031",607,424,731,437,294,117,60,57,20,13,7,3,2,1,118,71,47,8,4,4,2,1,1,32,19,13,0,0,0,0,0,0,0,0,0
18-34 Years,"9,366","5,143","4,223","7,743","4,318","3,425",566,291,275,164,59,105,459,199,260,331,236,95,53,15,38,6,3,3,37,19,18,2,2,0,0,0,1,1,4,4
35-49 Years,"25,972","15,639","10,333","21,880","13,300","8,580","1,744",998,746,413,198,215,"1,176",624,552,611,463,148,83,29,54,17,12,5,40,12,28,0,0,2,1,1,2,2,4,4
50-64 Years,"47,749","30,660","17,089","40,789","26,205","14,584","4,307","2,609","1,698",217,126,91,591,362,229,"1,442","1,172",270,352,157,195,16,10,6,34,18,16,0,0,1,1,0,0,0,0,0
65 +,"28,287","17,639","10,648","24,632","15,327","9,305","2,676","1,611","1,065",11,8,3,20,14,6,538,455,83,405,222,183,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0